URL,News Type,Collection,Authors
http://americandigest.org/wp/skyway-paradise-open/,blogs,Collection: Technorati U.S. Political Blogs 2008,[VANDERLEUN]
http://www.afro-netizen.com/2011/07/invisiblecapitaltebr.html,blogs,Collection: Technorati U.S. Political Blogs 2008,[Chris Rabb]
https://doportugalprofundo.blogspot.com/2017/05/a-misteriosa-quinta-de-jano.html,blogs,Collection: Technorati U.S. Political Blogs 2008,[X]
http://blog.iblamethepatriarchy.com/2015/02/10/get-stuffed/,blogs,Collection: Technorati U.S. Political Blogs 2008,[Twisty]
https://israelmatzav.blogspot.com/2017/07/another-sabbath-massacre.html,blogs,Collection: Technorati U.S. Political Blogs 2008,[Carl in Jerusalem]
http://loiclemeur.com/english/2015/11/18/the-art-of-the-interview-by-cal-fussman/,blogs,Collection: Technorati U.S. Political Blogs 2008,[LOÏC LE MEUR]
http://onegoodmove.org/1gm/1gmarchive/2017/04/trump_world.html,blogs,Collection: Technorati U.S. Political Blogs 2008,[Norm]
http://www.powerlineblog.com/archives/2017/10/breaking-the-bush-conspiracy-exposed.php,blogs,Collection: Technorati U.S. Political Blogs 2008,[STEVEN HAYWARD]
http://talkingpointsmemo.com/livewire/bolling-beyond-inappropriate-oreilly-death-of-my-son,blogs,Collection: Technorati U.S. Political Blogs 2008,[MATT SHUHAM]
https://aconservativeteacher.blogspot.com/2014/10/info-obyek-wisata-murah-indonesia-dan.html,blogs,U.S. Political Blogs,[anissariskaa]
https://alaskanlibrarian.wordpress.com/2017/01/07/going-to-archival-mode/,blogs,U.S. Political Blogs,[Daniel Cornwall]
https://americanpowerblog.blogspot.com/2017/10/george-saunders-lincoln-in-bardo.html,blogs,U.S. Political Blogs,[Donald Douglas]
https://bayourenaissanceman.blogspot.com/2017/10/this-is-gulf-they-just-dont-get-it.html,blogs,U.S. Political Blogs,[Peter]
https://davidalove.blogspot.com/2016/03/david-on-al-jazeeras-inside-story-are.html,blogs,U.S. Political Blogs,[DAL]
http://www.dougberger.net/archive/2017/10/the-bill-of-rights-says-no-one-has-to-stand-for-the-anthem.html,blogs,U.S. Political Blogs,[Doug]
http://fair.org/home/please-stop-using-woman-in-chador-walks-by-anti-us-mural-stock-photo-for-every-article-about-iran/,blogs,U.S. Political Blogs,[ADAM JOHNSON]
http://www.world-o-crap.com/blackhead-mask/,blogs,U.S. Political Blogs,[ivantrajcev]
http://www.telegraph.co.uk/science/2017/10/20/listening-podcast-running-could-harm-performance/,blogs,U.S. Political Blogs,[Sarah Knapton]
https://francona.blogspot.com/2017/10/the-impending-fall-of-al-raqqah-then.html,blogs,U.S. Political Blogs,[]
https://oldatlanticlighthouse.wordpress.com/2017/09/12/9-11-dirty-tricks-with-home-health-aide/,blogs,U.S. Political Blogs,[]
http://pinetreepolitics.bangordailynews.com/2017/10/18/so-begins-maines-game-of-thrones/,blogs,U.S. Political Blogs,[Matthew Gagnon]
http://scrappleface.com/blog/2017/08/21/alex-jones-fans-vulnerable-to-solar-eclipse-deception/,blogs,U.S. Political Blogs,[Scott Ott]
http://www.anglicancommunioninstitute.com/2016/03/anguish-and-amnesia-the-episcopal-church-and-communion/,blogs,U.S. Political Blogs,[Rev. Dr. Ephraim Radner]
https://pjmedia.com/victordavishanson/obamas-gift-to-trump/,blogs,U.S. Political Blogs,[VICTOR DAVIS HANSON]
http://www.112noordholland.nl/regio-s/zaanstreek/scooterrijder-gewond-door-ongeval-met-auto-in-assendelft,international,EMM,[Final Editor 112NH]
http://www.5septiembre.cu/dedicaran-a-fidel-aniversario-13-de-brigada-jose-marti-en-cienfuegos/,international,EMM,[Emma S. Morales Rodríguez]
http://www.abc.com.py/nacionales/sin-luz-en-terapia-infantil-1639904.html,international,EMM,[]
http://www.bbc.com/swahili/habari-41591645,international,EMM,[]
http://www.blikopnieuws.nl/nieuws/257573/verdachte-michael-p-27-zaak-anne-faber-blijft-vastzitten.html,international,EMM,[]
https://www.demorgen.be/buitenland/vs-trekken-zich-terug-uit-unesco-b2fe3ac3/,international,EMM,[]
http://www.diariocordoba.com/noticias/temadia/mariano-rajoy-pone-marcha-maquinaria-155_1177782.html,international,EMM,[FRAN OSAMBELA]
http://www.elsalvador.com/noticias/nacional/407064/nayib-bukele-despide-a-11-militantes-del-fmln-para-vengarse-por-su-expulsion/,international,EMM,[Eugenia Velásquez / Luis Andrés Marroquín]
http://www.hindustantimes.com/india-news/he-hugged-me-burst-into-tears-rajesh-and-nupur-talwar-break-down-say-justice-delivered/story-KGcNkel6EVqXLo9tlLyH2I.html,international,EMM,[Peeyush Khandelwal]
http://www.irishexaminer.com/examviral/vladimir-putin-was-given-a-puppy-as-a-birthday-gift-and-it-was-all-totally-normal-809547.html,international,EMM,[]
http://www.lemonde.fr/international/article/2017/10/12/les-etats-unis-se-retirent-de-l-unesco_5199987_3210.html,international,EMM,[]
http://www.kn-online.de/News/Aktuelle-Nachrichten-Schleswig-Holstein/Nachrichten-Schleswig-Holstein/Verdaechtiger-zeigte-Ort-Mordkommission-findet-Leiche-auf-Amrum,international,EMM,[Günter Schellhase]
https://www.la-croix.com/Economie/Social/Reformes-sociales-acte-II-Emmanuel-Macron-recoit-syndicats-patronat-2017-10-12-1200883684?from_univers=lacroix,international,EMM,[Vincent de Féligonde (with AFP)]
http://www.mid-day.com/articles/mumbai-crime-news-serial-molester-arrested-for-molesting-us-woman-in-powai/18672150,international,EMM,[A Correspondent]
http://www.nationnews.com/nationnews/news/101523/canadians-facing-drug-charges,international,EMM,[]
